order_id,order_placement_date,customer_id,product_id,order_qty,delivery_qty
FMR34203601,01-03-2022,789203,25891601,110,110
FMR34220601,01-03-2022,789220,25891601,78,78
FMR32501601,01-03-2022,789501,25891601,139,139
FMR33102601,01-03-2022,789102,25891601,180,180
FMR32902601,01-03-2022,789902,25891601,93,88
FMR33903601,01-03-2022,789903,25891601,93,84
FMR32421601,01-03-2022,789421,25891601,108,103
FMR34421601,01-03-2022,789421,25891601,75,75
FMR34621601,01-03-2022,789621,25891601,170,170
FMR33520601,01-03-2022,789520,25891601,182,146
FMR32702601,01-03-2022,789702,25891601,93,74
FMR34122601,01-03-2022,789122,25891601,68,61
FMR32101601,01-03-2022,789101,25891601,124,124
FMR33103602,01-03-2022,789103,25891601,188,150
FMR32202603,01-03-2022,789202,25891601,125,119
FMR34522601,01-03-2022,789522,25891601,181,163
FMR33321601,01-03-2022,789321,25891601,157,157
FMR33201602,01-03-2022,789201,25891601,180,171
FMR34622602,01-03-2022,789622,25891601,96,91
FMR34203601,01-03-2022,789203,25891301,100,100
FMR33320501,01-03-2022,789320,25891301,46,46
FMR33220603,01-03-2022,789220,25891301,75,75
FMR33721603,01-03-2022,789721,25891301,59,59
FMR32420403,01-03-2022,789420,25891301,87,87
FMR33420301,01-03-2022,789420,25891301,23,18
FMR32121301,01-03-2022,789121,25891301,72,65
FMR33421301,01-03-2022,789421,25891301,75,67
FMR34421301,01-03-2022,789421,25891301,47,45
FMR33402303,01-03-2022,789402,25891301,94,94
FMR34520301,01-03-2022,789520,25891301,38,34
FMR32422301,01-03-2022,789422,25891301,63,63
FMR33422301,01-03-2022,789422,25891301,63,60
FMR33301301,01-03-2022,789301,25891301,92,83
FMR33122301,01-03-2022,789122,25891301,29,26
FMR34101301,01-03-2022,789101,25891301,76,76
FMR34103403,01-03-2022,789103,25891301,71,67
FMR34221301,01-03-2022,789221,25891301,44,44
FMR34202301,01-03-2022,789202,25891301,45,45
FMR32522301,01-03-2022,789522,25891301,46,46
FMR34522403,01-03-2022,789522,25891301,47,38
FMR34303602,01-03-2022,789303,25891301,44,40
FMR32203402,01-03-2022,789203,25891402,488,488
FMR34721503,01-03-2022,789721,25891402,436,414
FMR34420402,01-03-2022,789420,25891402,353,353
FMR32902402,01-03-2022,789902,25891402,405,405
FMR34621601,01-03-2022,789621,25891402,220,220
FMR32520603,01-03-2022,789520,25891402,287,258
FMR34720402,01-03-2022,789720,25891402,472,448
FMR34401402,01-03-2022,789401,25891402,468,468
FMR33122402,01-03-2022,789122,25891402,460,437
FMR34122402,01-03-2022,789122,25891402,256,205
FMR32221402,01-03-2022,789221,25891402,384,384
FMR33221402,01-03-2022,789221,25891402,342,342
FMR32202402,01-03-2022,789202,25891402,442,442
FMR33503502,01-03-2022,789503,25891402,450,450
FMR33321602,01-03-2022,789321,25891402,283,283
FMR32622402,01-03-2022,789622,25891402,309,247
